subject,department,creditUnits,sumHours,audHours,lectureHours,seminarHours,laboratoryHours,noOfTerm,certificationForm
Биржевая торговля ценными бумагами                            ,ИБМ5      ,           ,        ,        ,            ,            ,               ,          ,
Рынок ценных бумаг                                            ,ИБМ5      ,           ,        ,        ,            ,            ,               ,          ,
Дисциплина по выбору №8                                       ,          ,2,72,34,17,17,0,7,Зчт
Управление оборотным капиталом                                ,ИБМ5      ,           ,        ,        ,            ,            ,               ,          ,
Управление интеллектуальным капиталом                         ,ИБМ5      ,           ,        ,        ,            ,            ,               ,          ,
Дисциплина по выбору №11                                      ,          ,2,72,24,12,12,0,8,Зчт
Экономическая оценка инвестиций                               ,ИБМ5      ,           ,        ,        ,            ,            ,               ,          ,
Управление инвестициями                                       ,ИБМ5      ,           ,        ,        ,            ,            ,               ,          ,
Дисциплина по выбору №12                                      ,          ,2,72,48,24,24,0,8,Зчт
Системное руководство организацией                            ,ИБМ5      ,           ,        ,        ,            ,            ,               ,          ,
"Деловая игра ""Создание структуры руководства""             ",ИБМ5      ,           ,        ,        ,            ,            ,               ,          ,
Дисциплина по выбору №13                                      ,          ,3,108,48,24,24,0,8,Зчт
Исследования в области финансовых технологий мирового уровня  ,ИБМ5      ,           ,        ,        ,            ,            ,               ,          ,
Модели прогнозирования финансового развития предприятия       ,ИБМ5      ,           ,        ,        ,            ,            ,               ,          ,
Дисциплина по выбору №10                                      ,          ,2,72,36,0,24,12,8,Зчт
Прогрессивные коорпоративные финансы                          ,ИБМ5      ,           ,        ,        ,            ,            ,               ,          ,
Финансирование инновационных технологий                       ,ИБМ5      ,           ,        ,        ,            ,            ,               ,          ,
Дисциплина по выбору №9                                       ,          ,2,72,48,24,24,0,8,Зчт
Правовое обеспечение управления финансами                     ,ИБМ5      ,           ,        ,        ,            ,            ,               ,          ,
Финансовое право                                              ,ИБМ5      ,           ,        ,        ,            ,            ,               ,          ,
Учебно-технологический практикум                              ,РЛ6       ,1,36,0,0,0,0,1,ДЗчт
Учебно-технологический практикум                              ,МТ13      ,1,36,0,0,0,0,2,ДЗчт
Учебная практика                                              ,ИБМ5      ,3,108,0,0,0,0,4,ДЗчт
