subject,department,creditUnits,sumHours,audHours,lectureHours,seminarHours,laboratoryHours,noOfTerm,certificationForm
Дисциплина по выбору №8,,3,108,51,17,34,0,6,Зчт
Основы актуариата,ИБМ5,,,,,,,,
Финансовые институты и рынки,ИБМ5,,,,,,,,
Дисциплина по выбору №7,,3,108,51,17,34,0,6,Экз
Анализ финансового состояния предприятия,ИБМ5,,,,,,,,
Аудит,ИБМ5,,,,,,,,
Дисциплина по выбору №12,,3,108,34,17,17,0,7,Зчт
Имитационное моделирование,ИБМ5,,,,,,,,
Финансовая эконометрика,ИБМ5,,,,,,,,
Дисциплина по выбору №9,,3,108,51,17,17,17,7,Экз
Управление инвестициями,ИБМ5,,,,,,,,
Инвестиционный анализ,ИБМ5,,,,,,,,
Дисциплина по выбору №10,,2,72,34,17,17,0,7,Зчт
Система обязательного медицинского страхования,ИБМ5,,,,,,,,
Модели управления лечебно- профилактическим учреждением,ИБМ5,,,,,,,,
Дисциплина по выбору №11,,2,72,34,17,17,0,7,Зчт
Управленческая этика,ИБМ5,,,,,,,,
Управление интеллектуальным капиталом,ИБМ5,,,,,,,,
Дисциплина по выбору №13,,2,72,36,12,24,0,8,Зчт
Бухгалтерский учет и анализ,ИБМ5,,,,,,,,
Финансовый учёт,ИБМ5,,,,,,,,
Дисциплина по выбору №14,,2,72,36,12,24,0,8,Зчт
Управление оборотным капиталом,ИБМ5,,,,,,,,
Финансирование текущей деятельности предприятия,ИБМ5,,,,,,,,
Дисциплина по выбору №15,,2,72,36,12,24,0,8,Зчт
Финансовые институты и рынки,ИБМ5,,,,,,,,
Производные финансовые инструменты,ИБМ5,,,,,,,,
"Практика по получению первичных профессиональных умений и навыков, в том числе превичных умений и навыков научно- исследовательской деятельности",ИБМ5,3,108,0,0,0,0,4,ДЗчт
